City Name,Date/Time (UTC),AQI,CO,NO,NO2,O3,SO2,PM2.5,PM10,NH3
New York,2026-07-01 00:00:00+00:00,2,102.79,0.02,2.41,80.79,0.91,3.66,6.06,0.25
New York,2026-07-01 01:00:00+00:00,2,101.57,0.0,2.36,77.13,0.87,3.63,6.39,0.3
New York,2026-07-01 02:00:00+00:00,2,101.92,0.0,2.37,75.28,0.85,3.7,6.81,0.4
New York,2026-07-01 03:00:00+00:00,2,103.17,0.0,2.5,73.49,0.85,3.83,7.32,0.6
New York,2026-07-01 04:00:00+00:00,2,103.2,0.0,2.46,71.5,0.82,3.94,7.84,0.82
New York,2026-07-01 05:00:00+00:00,2,102.62,0.0,2.25,70.15,0.79,4.03,8.3,1.05
New York,2026-07-01 06:00:00+00:00,2,101.41,0.0,2.07,68.88,0.77,4.07,8.57,1.27
New York,2026-07-01 07:00:00+00:00,2,99.84,0.0,1.96,67.6,0.76,3.99,8.56,1.43
New York,2026-07-01 08:00:00+00:00,2,98.27,0.0,1.88,66.25,0.75,3.85,8.42,1.44
New York,2026-07-01 09:00:00+00:00,2,96.78,0.0,1.85,64.96,0.77,3.71,8.22,1.32
New York,2026-07-01 10:00:00+00:00,2,95.67,0.0,1.93,63.58,0.82,3.55,7.99,1.17
New York,2026-07-01 11:00:00+00:00,2,96.3,0.05,2.35,62.02,0.93,3.45,7.88,1.08
New York,2026-07-01 12:00:00+00:00,2,99.32,0.33,2.76,61.92,1.09,3.47,8.02,1.04
New York,2026-07-01 13:00:00+00:00,2,101.33,0.56,2.69,67.53,1.31,3.73,8.58,0.99
New York,2026-07-01 14:00:00+00:00,2,102.41,0.57,2.38,73.4,1.46,4.23,9.4,1.03
New York,2026-07-01 15:00:00+00:00,2,104.19,0.41,1.89,83.05,1.6,5.31,10.77,1.06
New York,2026-07-01 16:00:00+00:00,2,109.04,0.26,1.42,96.09,1.73,7.03,12.43,0.88
New York,2026-07-01 17:00:00+00:00,3,110.6,0.19,1.21,103.33,1.72,8.12,13.43,0.8
New York,2026-07-01 18:00:00+00:00,3,110.4,0.17,1.15,106.94,1.65,8.61,14.02,0.8
New York,2026-07-01 19:00:00+00:00,3,110.3,0.15,1.13,106.85,1.49,8.42,13.66,0.68
New York,2026-07-01 20:00:00+00:00,3,109.35,0.15,1.2,104.25,1.34,7.84,13.08,0.58
New York,2026-07-01 21:00:00+00:00,3,109.0,0.16,1.43,101.72,1.24,7.41,12.85,0.54
New York,2026-07-01 22:00:00+00:00,2,110.22,0.18,1.91,98.3,1.22,7.18,12.93,0.54
New York,2026-07-01 23:00:00+00:00,2,112.15,0.16,2.44,94.03,1.21,7.01,13.12,0.58
New York,2026-07-02 00:00:00+00:00,2,112.69,0.05,2.8,89.49,1.16,6.71,12.98,0.65
New York,2026-07-02 01:00:00+00:00,2,110.21,0.0,2.7,83.65,1.07,6.14,12.42,0.74
New York,2026-07-02 02:00:00+00:00,2,109.31,0.0,2.62,78.93,1.02,5.68,11.93,0.87
New York,2026-07-02 03:00:00+00:00,2,109.29,0.0,2.73,75.2,1.01,5.35,11.43,1.05
New York,2026-07-02 04:00:00+00:00,2,108.94,0.0,2.71,72.31,1.02,5.05,10.98,1.25
New York,2026-07-02 05:00:00+00:00,2,107.92,0.0,2.53,70.8,1.03,4.82,10.69,1.45
